Code,Classification détaillée,Classification selon 8 catégories,Classification A selon 27 catégories,Classification B selon 20 catégories,Recode
120,Agriculture indifférenciée,Agricole,Agriculture indifférenciée,Agriculture indifférenciée,7
131,Jachère,Agricole,Agriculture indifférenciée,Agriculture indifférenciée,7
198,Vesce,Agricole,Agriculture indifférenciée,Agriculture indifférenciée,7
2120,Agriculture (indifférenciée)\Tourbière,Agricole,Agriculture indifférenciée,Agriculture indifférenciée,7
4120,Agriculture (indifférenciée)\Marécage,Agricole,Agriculture indifférenciée,Agriculture indifférenciée,7
300,Autres terrains,Anthropique,Anthropique,Anthropique,1
301,Zones développées,Anthropique,Anthropique,Anthropique,1
302,Urbain,Anthropique,Anthropique,Anthropique,1
311,Parc/terrain sport,Anthropique,Anthropique,Anthropique,1
313,Golf,Anthropique,Anthropique,Anthropique,1
320,Routes et chemins,Anthropique,Anthropique,Anthropique,1
321,Aéroport,Anthropique,Anthropique,Anthropique,1
322,Chemin de fer,Anthropique,Anthropique,Anthropique,1
341,Carrière et gravière,Anthropique,Anthropique,Anthropique,1
343,Mine et déchet de mine,Anthropique,Anthropique,Anthropique,1
344,"Bassin de filtration, de
décontamination, Bassin
déchets liquides, etc.",Anthropique,Anthropique,Anthropique,1
345,Dépotoir,Anthropique,Anthropique,Anthropique,1
346,Zone industrielle et commerce,Anthropique,Anthropique,Anthropique,1
350,Installations de gaz et pétrole,Anthropique,Anthropique,Anthropique,1
351,"Ligne de transmission, Ligne de transport d'énergie",Anthropique,Anthropique,Anthropique,1
2301,Urbain\Tourbière,Anthropique,Anthropique,Anthropique,1
2351,"Ligne de transport
d'énergie\Tourbière",Anthropique,Anthropique,Anthropique,1
3000,Tourbière exploitée,Anthropique,Anthropique,Anthropique,1
4301,Urbain\Marécage,Anthropique,Anthropique,Anthropique,1
4351,"Ligne de transport
d'énergie\Marécage",Anthropique,Anthropique,Anthropique,1
50,Arbustes,Forestier,Arbustaies,Arbustaies,11
51,Arbustes bas,Forestier,Arbustaies,Arbustaies,11
53,Arbustes hauts,Forestier,Arbustaies,Arbustaies,11
61,Lande à mousse,"Sols nus et
landes",Lande à mousse,Autres,19
60,Lichenais,"Sols nus et
landes",Lichenais,Autres,19
30,"Sol nus /roc-sol à nu, Dénudé et semi-dénudé sec","Sols nus et
landes",Sol dénudé,Autres,19
